"creation date","announce","files","piece length","name","announce-list","type","magnet link","source"
"1538278888","udp://tracker.leechers-paradise.org:6969","[{'path': ['Billy.Madison.1995.1080p.BluRay.H264.AAC-RARBG.mp4'], 'length': 1839083542}, {'path': ['RARBG.txt'], 'length': 30}, {'path': ['Subs', '10_Dut.srt'], 'length': 70331}, {'path': ['Subs', '11_Nor.srt'], 'length': 75721}, {'path': ['Subs', '12_Por.srt'], 'length': 74739}, {'path': ['Subs', '13_Por.srt'], 'length': 74970}, {'path': ['Subs', '14_Swe.srt'], 'length': 75201}, {'path': ['Subs', '15_Tur.srt'], 'length': 80896}, {'path': ['Subs', '2_Dan.srt'], 'length': 74416}, {'path': ['Subs', '3_Eng.srt'], 'length': 86777}, {'path': ['Subs', '4_Spa.srt'], 'length': 68175}, {'path': ['Subs', '5_Spa.srt'], 'length': 73586}, {'path': ['Subs', '6_Fin.srt'], 'length': 77485}, {'path': ['Subs', '7_Fre.srt'], 'length': 76759}, {'path': ['Subs', '8_Ger.srt'], 'length': 77110}, {'path': ['Subs', '9_Ita.srt'], 'length': 74486}]","1048576","Billy.Madison.1995.1080p.BluRay.H264.AAC-RARBG","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:f4b5f327e607a140ccc80b38702f395799dabf3a&dn=The Watch 2012 720p BluRay H264 AAC &tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278888","udp://tracker.leechers-paradise.org:6969","[{'path': ['RARBG.txt'], 'length': 30}, {'path': ['The.13th.Warrior.1999.720p.BluRay.H264.AAC-RARBG.mp4'], 'length': 1334130826}]","1048576","The.13th.Warrior.1999.720p.BluRay.H264.AAC-RARBG","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:982aebdcbe1eccd30a725312f8d56e73e1261058&dn=Capote 2005 720p BluRay H264 AAC &tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278888","udp://tracker.leechers-paradise.org:6969","[{'path': ['RARBG.txt'], 'length': 30}, {'path': ['Subs', '2_Und.srt'], 'length': 88722}, {'path': ['Tombstone.1993.1080p.BluRay.H264.AAC-RARBG.mp4'], 'length': 2654625439}]","1048576","Tombstone.1993.1080p.BluRay.H264.AAC-RARBG","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:a53e783e59e979c387be1040a1a052d3f59587fc&dn=Billy Madison 1995 1080p BluRay H264 AAC &tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278888","udp://tracker.leechers-paradise.org:6969","[{'path': ['Gold of the Amazon Women (Mark L. Lester, 1979).mkv'], 'length': 1282500856}, {'path': ['Gold of the Amazon Women (Mark L. Lester, 1979).greek.srt'], 'length': 36361}]","1048576","Gold of the Amazon Women [1979 - USA] jungle adventure","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:5617d8266ebb75048bc45c776e0a30735ce35ee4&dn=The 13th Warrior 1999 720p BluRay H264 AAC &tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278889","udp://tracker.leechers-paradise.org:6969","[{'path': ['At.First.Light.2018.1080p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1558365329}, {'path': ['www.YTS.AM.jpg'], 'length': 58132}]","524288","At First Light (2018) [WEBRip] [1080p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:cd6a0a167213135792f0a45a1dacfa2048a183d2&dn=Tombstone 1993 1080p BluRay H264 AAC &tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278889","udp://tracker.leechers-paradise.org:6969","[{'path': ['Hold.The.Dark.2018.1080p.WEBRip.x264-[YTS.AM].mp4'], 'length': 2173843699}, {'path': ['www.YTS.AM.jpg'], 'length': 58132}]","524288","Hold The Dark (2018) [WEBRip] [1080p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:57c109810b61c515908a31627825567136e137d0&dn=Dissolution   Hitparkut [2010   Israel] Jaffa violence&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['www.YTS.AM.jpg'], 'length': 58132}, {'path': ['Black.47.2018.720p.WEBRip.x264-[YTS.AM].mp4'], 'length': 889996690}]","524288","Black 47 (2018) [WEBRip] [720p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:da9b4fa6c3f2300b0ec0f6ef570ef779611b80b5&dn=Black 47 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['www.YTS.AM.jpg'], 'length': 58132}, {'path': ['The.Outer.Wild.2018.1080p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1450604302}]","524288","The Outer Wild (2018) [WEBRip] [1080p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:701bcd992c58b683088267314425c92cfea61446&dn=The Outer Wild 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['Hold.The.Dark.2018.720p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1136280357}, {'path': ['www.YTS.AM.jpg'], 'length': 58132}]","524288","Hold The Dark (2018) [WEBRip] [720p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:bfc2e09f7a2992dd04ad5b7b09ed82ea85863daa&dn=Hold the Dark 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['King.Lear.2018.1080p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1981743132}, {'path': ['www.YTS.AM.jpg'], 'length': 58132}]","524288","King Lear (2018) [WEBRip] [1080p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:1c23176161af9ccff715838582f4fccea30e257b&dn=At First Light 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['www.YTS.AM.jpg'], 'length': 58132}, {'path': ['Cruise.2018.1080p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1539582958}]","524288","Cruise (2018) [WEBRip] [1080p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:668224cb9eea3af384636b252de3af855431b52a&dn=King Lear 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': [""Won't.You.Be.My.Neighbor..2018.720p.BluRay.x264-[YTS.AM].mp4""], 'length': 831490612}, {'path': ['www.YTS.AM.jpg'], 'length': 58132}]","524288","Won't You Be My Neighbor  (2018) [BluRay] [720p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:12b86026aa89faf949a6d95bb23a1da11063db99&dn=Cruise 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['www.YTS.AM.jpg'], 'length': 58132}, {'path': ['The.Outer.Wild.2018.720p.WEBRip.x264-[YTS.AM].mp4'], 'length': 753810748}]","524288","The Outer Wild (2018) [WEBRip] [720p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:c45ef19ae61e85aeff84305fe9f5d00eae8db380&dn=Wont You Be My Neighbor 2018 BluRay 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['www.YTS.AM.jpg'], 'length': 58132}, {'path': ['Black.47.2018.1080p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1713589536}]","524288","Black 47 (2018) [WEBRip] [1080p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:3a7c56779bc4626ef1771d230810d760b4e1cb2d&dn=The Outer Wild 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"
"1538278919","udp://tracker.leechers-paradise.org:6969","[{'path': ['King.Lear.2018.720p.WEBRip.x264-[YTS.AM].mp4'], 'length': 1031870905}, {'path': ['www.YTS.AM.jpg'], 'length': 58132}]","524288","King Lear (2018) [WEBRip] [720p] [YTS.AM]","[['udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.opentrackr.org:1337', 'udp://tracker.pirateparty.gr:6969', 'udp://eddie4.nl:6969']]","movies","magnet:?xt=urn:btih:84f48a273d7d1662d3198d54001d39b70cb16758&dn=Black 47 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","kat.ph"